algorithm,instance,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std,structure
Nearest Neighbor,euclidean_20_2,383.91366985218747,383.91366985218747,383.91366985218747,,0.0007982999959494919,0.0007982999959494919,0.0007982999959494919,,euclidean
Nearest Neighbor,euclidean_20_3,403.6035824840784,403.6035824840784,403.6035824840784,,0.0007437000022036955,0.0007437000022036955,0.0007437000022036955,,euclidean
Nearest Neighbor,euclidean_20_4,473.62570612465566,473.62570612465566,473.62570612465566,,0.0008000999951036647,0.0008000999951036647,0.0008000999951036647,,euclidean
Nearest Neighbor,grid_20_0,265.58837571030267,265.58837571030267,265.58837571030267,,0.001331799998297356,0.001331799998297356,0.001331799998297356,,grid
Nearest Neighbor,grid_20_1,257.75280076814806,257.75280076814806,257.75280076814806,,0.0014311999984784052,0.0014311999984784052,0.0014311999984784052,,grid
Nearest Neighbor,grid_20_2,318.24230729609394,318.24230729609394,318.24230729609394,,0.0016369000004488043,0.0016369000004488043,0.0016369000004488043,,grid
Nearest Neighbor,grid_20_3,288.9124522657512,288.9124522657512,288.9124522657512,,0.0013543000022764318,0.0013543000022764318,0.0013543000022764318,,grid
Nearest Neighbor,grid_20_4,280.2238568820029,280.2238568820029,280.2238568820029,,0.001417599996784702,0.001417599996784702,0.001417599996784702,,grid
Nearest Neighbor,random_20_0,inf,inf,inf,,8.600000001024455e-06,8.600000001024455e-06,8.600000001024455e-06,,random
Nearest Neighbor,random_20_1,inf,inf,inf,,9.900002623908222e-06,9.900002623908222e-06,9.900002623908222e-06,,random
Nearest Neighbor,random_20_2,inf,inf,inf,,9.399998816661537e-06,9.399998816661537e-06,9.399998816661537e-06,,random
Nearest Neighbor,random_20_3,inf,inf,inf,,1.0100004146806896e-05,1.0100004146806896e-05,1.0100004146806896e-05,,random
Nearest Neighbor,random_20_4,inf,inf,inf,,1.1299998732283711e-05,1.1299998732283711e-05,1.1299998732283711e-05,,random
"Simulated Annealing (T=100, α=0.95)",cluster_20_0,1655.360950721496,1655.360950721496,1655.360950721496,,0.0024903999947127886,0.0024903999947127886,0.0024903999947127886,,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_1,1387.604535797986,1387.604535797986,1387.604535797986,,0.002300799998920411,0.002300799998920411,0.002300799998920411,,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_2,1575.0437751416691,1575.0437751416691,1575.0437751416691,,0.0024772000033408403,0.0024772000033408403,0.0024772000033408403,,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_3,1565.7742835265003,1565.7742835265003,1565.7742835265003,,0.002315500001714099,0.002315500001714099,0.002315500001714099,,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_4,1690.8860296789976,1690.8860296789976,1690.8860296789976,,0.0025074000004678965,0.0025074000004678965,0.0025074000004678965,,cluster
"Simulated Annealing (T=100, α=0.95)",euclidean_20_0,462.09713551538226,462.09713551538226,462.09713551538226,,0.0031185000043478794,0.0031185000043478794,0.0031185000043478794,,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_1,332.77401878059806,332.77401878059806,332.77401878059806,,0.0024736000050324947,0.0024736000050324947,0.0024736000050324947,,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_2,393.7451936187673,393.7451936187673,393.7451936187673,,0.0027854999934788793,0.0027854999934788793,0.0027854999934788793,,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_3,510.1297846300829,510.1297846300829,510.1297846300829,,0.0030370999957085587,0.0030370999957085587,0.0030370999957085587,,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_4,516.8031304373596,516.8031304373596,516.8031304373596,,0.0025917000020854175,0.0025917000020854175,0.0025917000020854175,,euclidean
"Simulated Annealing (T=100, α=0.95)",grid_20_0,296.35658874029787,296.35658874029787,296.35658874029787,,0.0029328000018722378,0.0029328000018722378,0.0029328000018722378,,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_1,310.5791223660237,310.5791223660237,310.5791223660237,,0.0031022999974084087,0.0031022999974084087,0.0031022999974084087,,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_2,324.7250242965334,324.7250242965334,324.7250242965334,,0.0029368999967118725,0.0029368999967118725,0.0029368999967118725,,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_3,322.1928788309415,322.1928788309415,322.1928788309415,,0.0029250000006868504,0.0029250000006868504,0.0029250000006868504,,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_4,305.72211804295887,305.72211804295887,305.72211804295887,,0.0028846000059274957,0.0028846000059274957,0.0028846000059274957,,grid
"Simulated Annealing (T=100, α=0.95)",random_20_0,inf,inf,inf,,5.62999994144775e-05,5.62999994144775e-05,5.62999994144775e-05,,random
"Simulated Annealing (T=100, α=0.95)",random_20_1,inf,inf,inf,,3.479999577393755e-05,3.479999577393755e-05,3.479999577393755e-05,,random
"Simulated Annealing (T=100, α=0.95)",random_20_2,inf,inf,inf,,2.849999873433262e-05,2.849999873433262e-05,2.849999873433262e-05,,random
"Simulated Annealing (T=100, α=0.95)",random_20_3,inf,inf,inf,,3.18000020342879e-05,3.18000020342879e-05,3.18000020342879e-05,,random
"Simulated Annealing (T=100, α=0.95)",random_20_4,inf,inf,inf,,2.800000220304355e-05,2.800000220304355e-05,2.800000220304355e-05,,random
